id_viagem;id_usuario;genero_usuario;ano_de_nacimiento;data_viagem;inicio_viagem;fim_viagem;id_origem;id_destino
42023095;464332;M;1984;2025-12-04;14:29:40;14:43:07;82;63
42023097;3465721;F;1968;2025-12-04;14:29:46;14:39:19;35;354
42023098;2332504;M;1989;2025-12-04;14:29:55;14:53:38;27;155
42023099;4460713;M;1974;2025-12-04;14:29:55;14:46:09;328;341
42023101;4552546;M;1999;2025-12-04;14:30:06;14:48:41;271;341
42023103;4577155;M;1990;2025-12-04;14:30:13;14:32:11;80;81
42023104;1611560;M;1983;2025-12-04;14:30:16;14:42:03;34;172
42023105;1273110;M;1995;2025-12-04;14:30:17;14:50:25;322;270
42023106;113162;F;1967;2025-12-04;14:30:18;14:42:19;163;349
42023107;4527336;M;2002;2025-12-04;14:30:21;14:47:20;157;40
42023109;721512;M;1982;2025-12-04;14:30:24;14:43:15;35;175
42023110;2000650;M;1991;2025-12-04;14:30:32;14:36:30;69;85
42023111;4636753;F;2000;2025-12-04;14:30:35;14:50:04;246;257
42023112;4537002;F;2002;2025-12-04;14:30:37;14:58:40;131;79
42023113;4612617;M;2006;2025-12-04;14:30:41;15:10:22;255;322
42023114;603215;M;1974;2025-12-04;14:30:44;14:40:00;173;268
42023115;2132642;M;2004;2025-12-04;14:30:55;14:37:08;69;73
42023116;2530770;M;2003;2025-12-04;14:30:56;14:58:08;237;145
42023117;1312336;M;1966;2025-12-04;14:31:02;14:46:32;179;377
42023118;1600632;M;1995;2025-12-04;14:31:02;14:50:04;83;188
42023119;4570267;M;2006;2025-12-04;14:31:06;14:45:20;58;257
42023120;2761776;M;1995;2025-12-04;14:31:04;14:38:41;38;43
42023121;4511700;M;2002;2025-12-04;14:31:16;14:47:06;35;273
